TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1596717171337	39.253876	0.000000	-13.876143	0.999962	0.000000	-0.000000	-0.008727	img_front_left_0_1596717171337237000.png
1596717171580	39.253876	0.000000	-13.876143	0.999848	0.000000	-0.000000	-0.017453	img_front_left_0_1596717171579669000.png
1596717171838	39.939793	-0.035957	-13.876143	0.999657	0.000000	-0.000000	-0.026177	img_front_left_0_1596717171837627000.png
1596717172090	41.311199	-0.107832	-13.876143	0.999657	0.000000	-0.000000	-0.026177	img_front_left_0_1596717172090330000.png
1596717172340	42.898407	-0.191016	-13.876143	0.999657	0.000000	-0.000000	-0.026177	img_front_left_0_1596717172339757000.png
1596717172582	44.508564	-0.275391	-13.876143	0.999657	0.000000	-0.000000	-0.026177	img_front_left_0_1596717172581736000.png
1596717172836	45.846386	-0.359727	-13.876143	0.999048	0.000000	-0.000000	-0.043620	img_front_left_0_1596717172836343000.png
1596717173090	47.965088	-0.545117	-13.876143	0.999048	0.000000	-0.000000	-0.043620	img_front_left_0_1596717173089483000.png
1596717173341	49.211327	-0.654160	-13.876143	0.999048	0.000000	-0.000000	-0.043620	img_front_left_0_1596717173341033000.png
1596717173596	50.877293	-0.799902	-13.876143	0.999048	0.000000	-0.000000	-0.043620	img_front_left_0_1596717173595710000.png
1596717173848	52.228416	-0.918125	-13.876143	0.999048	0.000000	-0.000000	-0.043620	img_front_left_0_1596717173847784000.png
1596717174100	53.777519	-1.053652	-13.876143	0.999048	0.000000	-0.000000	-0.043620	img_front_left_0_1596717174100230000.png
1596717174351	54.463348	-1.113652	-13.876143	0.999048	0.000000	-0.000000	-0.043620	img_front_left_0_1596717174350945000.png
1596717174601	55.431484	-1.198359	-13.876143	0.999048	0.000000	-0.000000	-0.043620	img_front_left_0_1596717174600546000.png
1596717174854	55.431484	-1.198359	-13.876143	0.999391	0.000000	-0.000000	-0.034900	img_front_left_0_1596717174853615000.png
1596717175104	55.431484	-1.198359	-13.876143	0.999848	0.000000	-0.000000	-0.017453	img_front_left_0_1596717175103554000.png
1596717175357	56.999969	-1.253145	-13.876143	0.999848	0.000000	-0.000000	-0.017453	img_front_left_0_1596717175356590000.png
1596717175604	58.332058	-1.299668	-13.876143	0.999848	0.000000	-0.000000	-0.017453	img_front_left_0_1596717175603438000.png
1596717175856	58.332058	-1.299668	-13.876143	0.999962	0.000000	-0.000000	-0.008727	img_front_left_0_1596717175856299000.png
1596717176107	58.332058	-1.299668	-13.876143	0.999848	-0.000000	0.000000	0.017452	img_front_left_0_1596717176107147000.png
1596717176356	58.332058	-1.299668	-13.876143	0.999048	-0.000000	0.000000	0.043619	img_front_left_0_1596717176355774000.png
1596717176592	59.444317	-1.163105	-13.876143	0.998135	-0.000000	0.000000	0.061049	img_front_left_0_1596717176591566000.png
1596717176836	60.582214	-1.023379	-13.876143	0.998135	-0.000000	0.000000	0.061049	img_front_left_0_1596717176835827000.png
1596717177080	61.827908	-0.870430	-13.876143	0.998135	-0.000000	0.000000	0.061049	img_front_left_0_1596717177079456000.png
1596717177323	63.322887	-0.686875	-13.876143	0.998135	-0.000000	0.000000	0.061050	img_front_left_0_1596717177322550000.png
1596717177577	64.471581	-0.545840	-13.876143	0.998135	-0.000000	0.000000	0.061050	img_front_left_0_1596717177576785000.png
